names,style,url
American Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/30416/119204/
Nikši?ko Gold,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1943/16848/
Red Stripe Bold,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/221/56794/
Brewhouse Pilsener,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2014/27180/
KCCO,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/18134/119364/
Yanjing 11º Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/713/33161/
Rockdale Classic,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/782/272536/
Quisqueya Extra,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2349/22944/
Brahva,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/26390/71107/
Godfather,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/18118/64979/
Vonu Pure Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/27115/78564/
Northern Golden Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/892/38387/
San Miguel Super Dry,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/355/5365/
Patricia,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/18389/47384/
Pre-flight,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/22536/83243/
Cusqueña Premium Malt Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/58/75053/
American Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/36084/221784/
Hamm's Golden Draft,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/320/11866/
Carling Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/54651/
Monte Carlo,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/16846/
San Lucas Cerveza,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/5910/
Crocodile Original,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/4089/22307/
Wiedemann,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/410/11336/
"Olvi Sandels 4,7%",American Adjunct Lager,https://www.beeradvocate.com/beer/profile/11065/24699/
Club Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/5367/35465/
Kingfisher Blue,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/91/45868/
Captain Fred,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2946/36940/
Bia Saigon Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/8646/90968/
Bowen Island Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/3446/26547/
Sol Limón Y Sal,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/45512/
Boags St George,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1479/25042/
National Bohemian Ice Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/5844/
Yellow Snow Pilsner,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/132/311012/
Milwaukee Premium Brewing Company Classic Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/782/32756/
Steeler Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/457/2549/
La Tropical,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/3106/7437/
"The Mule, Corn Lager",American Adjunct Lager,https://www.beeradvocate.com/beer/profile/22723/98976/
Jacob Best Pilsner,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/6060/
Salitos Tequila,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/120/17580/
Mountain Crest Classic Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/9536/17918/
Deep 6 Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/3446/96514/
XXXX Summer Bright Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/572/61457/
Cerveza Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/5339/11552/
Club Colombia Negra,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/722/82274/
Tsingtao Beer – Icy Smooth,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/28275/77977/
Labatt Crystal,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/2535/
Norteña,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/18389/96745/
Sol,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/26095/
Labatt Wildcat Strong,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/25087/
Michelob Ultra,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/108554/
Franca,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/23699/73491/
Milwaukee Special Reserve,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1422/9497/
Labatt Extra Dry,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/1841/
Chiller,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2243/5683/
Himalayan Blue,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/314/859/
Caguama Special Export,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/40311/
Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/25922/175505/
Huari,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2923/36247/
Caballo Cerveza Extra,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/11699/
Tecate Titanium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/110300/
Great Northern Brewing Company Super Crisp Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/353/85746/
Blue Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/355/34838/
Romulan Ale,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/51478/
The Most Interesting Lager In The World,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/35612/176665/
Archa Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/493/55845/
Cristal,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/439/37202/
Barrilito,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/92/26195/
Pabst Blue Ribbon 5.9%,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/415/99236/
Kaiser,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2480/18364/
Blue Star,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/14295/
Summer Siesta Mexican Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/27768/204507/
Taurino,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/44030/
Milwaukee Premium Brewing Company Classic Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/782/24580/
Pabst Blue Ribbon Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/7972/
Huda,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/3194/48955/
Kingfisher Draught,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/91/65435/
Pan Zlatni,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/16983/83364/
Jackson Flavor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/41018/239528/
Cherry Blonde Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/710/273878/
Moosehead Premium Dry,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/379/6165/
