names,style,url
Miller Fortune,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/105/110568/
Riverwest Stein Beer,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/741/2219/
Vinyl,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/96/54540/
Barking Squirrel Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/21537/54155/
Coney Island Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/27114/37142/
Redbridge,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/29/34257/
ZiegenBock Amber,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/29/2544/
Grain Belt Nordeast,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/417/57402/
Wisconsin Amber,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/368/977/
Rickard's Red,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/433/2037/
Creemore Springs Premium Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/455/1654/
Red Oak Amber,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/2951/7330/
Lashes Hopbock Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/26520/87767/
Point Classic Amber,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/786/3921/
Winter Skål,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/368/987/
Sleeman Honey Brown Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/415/1323/
Texas Red Amber Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/9969/20193/
Starr Hill Jomo Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/13667/33177/
Schell's Dark,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/417/1964/
Fisherman's Brew,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/8325/17119/
Michelob Honey Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/29/2417/
Colorado Native Amber Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/17948/57348/
Ornery Amber,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/156/2294/
Session Fest,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/5316/73629/
Pre-Prohibition Style Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/19241/52046/
Yard Sale Winter Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/1416/77762/
LTD Series - 05,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/5316/66358/
